time	V(ausgang)
9.527818080357144e-004	6.886369e-001
9.536188616071430e-004	6.869251e-001
9.544559151785715e-004	6.852783e-001
9.552929687500001e-004	6.836964e-001
9.564648437500001e-004	6.816067e-001
9.574414062500001e-004	6.799684e-001
9.584179687500001e-004	6.784256e-001
9.590234375000001e-004	6.775361e-001
9.602929687500001e-004	6.758103e-001
9.619949776785715e-004	6.739299e-001
9.636969866071430e-004	6.722897e-001
9.653989955357144e-004	6.708895e-001
9.671010044642858e-004	6.697294e-001
9.688030133928572e-004	6.688094e-001
9.705050223214287e-004	6.681294e-001
9.722070312500001e-004	6.676896e-001
9.741601562500001e-004	6.673393e-001
9.751367187500001e-004	6.672482e-001
9.761132812500001e-004	6.672118e-001
9.770898437500000e-004	6.672294e-001
9.780664062499999e-004	6.673003e-001
9.800195312499997e-004	6.676022e-001
9.819726562499995e-004	6.681190e-001
9.849023437499991e-004	6.693103e-001
9.878320312499988e-004	6.710368e-001
9.907617187499985e-004	6.733664e-001
9.936914062499982e-004	6.764085e-001
9.966210937499978e-004	6.803391e-001
9.995703124999636e-004	6.854482e-001
1.000000000000000e-003	6.863155e-001
