time	V(receiver)
3.740234374506608e-006	-4.013379e-001
3.749999999506608e-006	-4.772118e-001
3.759765624506608e-006	-5.513503e-001
3.769531249506608e-006	-6.234317e-001
3.779296874506608e-006	-6.931473e-001
3.789062499506608e-006	-7.602046e-001
3.798828124506608e-006	-8.243291e-001
3.808593749506608e-006	-8.852668e-001
3.818359374506608e-006	-9.427850e-001
3.828124999506607e-006	-9.966735e-001
3.837890624506607e-006	-1.046745e+000
3.847656249506607e-006	-1.092834e+000
3.857421874506606e-006	-1.134798e+000
3.876953124506605e-006	-1.205880e+000
3.896484374506605e-006	-1.259237e+000
3.916015624506604e-006	-1.294378e+000
3.935546874506603e-006	-1.311018e+000
3.955078124506602e-006	-1.309047e+000
3.974609374506602e-006	-1.288500e+000
3.994140624506601e-006	-1.249564e+000
4.013671874506600e-006	-1.192598e+000
4.033203124506599e-006	-1.118170e+000
4.052734374506598e-006	-1.027108e+000
4.072265624506598e-006	-9.205303e-001
4.082031249506597e-006	-8.618619e-001
4.091796874506597e-006	-7.998821e-001
4.101562499506596e-006	-7.348222e-001
4.111328124506596e-006	-6.669328e-001
4.121093749506596e-006	-5.964824e-001
4.130859374506595e-006	-5.237554e-001
4.140624999506595e-006	-4.490503e-001
4.150390624506594e-006	-3.726768e-001
4.160156249506594e-006	-2.949540e-001
4.169921874506594e-006	-2.162067e-001
4.189453124506593e-006	-5.695339e-002
4.199218749506592e-006	2.289654e-002
4.208984374506592e-006	1.024637e-001
4.228515624506591e-006	2.594943e-001
4.248046874506590e-006	4.117229e-001
4.267578124506590e-006	5.569121e-001
4.277343749506589e-006	6.262224e-001
4.287109374506589e-006	6.930249e-001
4.296874999506588e-006	7.570965e-001
4.316406249506588e-006	8.762134e-001
4.335937499506587e-006	9.820153e-001
4.355468749506586e-006	1.073106e+000
4.374999999506585e-006	1.148237e+000
4.394531249506584e-006	1.206310e+000
4.414062499506584e-006	1.246390e+000
4.433593749506583e-006	1.267730e+000
4.453124999506582e-006	1.269821e+000
4.472656249506581e-006	1.252428e+000
4.492187499506580e-006	1.215636e+000
4.511718749506580e-006	1.159880e+000
4.531249999506579e-006	1.085961e+000
4.550781249506578e-006	9.950347e-001
4.570312499506577e-006	8.885902e-001
4.589843749506576e-006	7.683985e-001
4.609374999506576e-006	6.364567e-001
4.628906249506575e-006	4.949221e-001
4.648437499506574e-006	3.460500e-001
4.667968749506573e-006	1.921383e-001
4.687499999506572e-006	3.548488e-002
4.697265624506572e-006	-4.315907e-002
4.716796874506571e-006	-1.996828e-001
4.736328124506570e-006	-3.533582e-001
4.755859374506570e-006	-5.020351e-001
4.765624999506569e-006	-5.738414e-001
4.775390624506569e-006	-6.436158e-001
4.785156249506568e-006	-7.111056e-001
4.794921874506568e-006	-7.760622e-001
4.814453124506567e-006	-8.974094e-001
4.833984374506566e-006	-1.005793e+000
4.853515624506566e-006	-1.099484e+000
4.873046874506565e-006	-1.176937e+000
4.892578124506564e-006	-1.236835e+000
4.912109374506563e-006	-1.278142e+000
4.931640624506563e-006	-1.300137e+000
4.951171874506562e-006	-1.302446e+000
4.970703124506561e-006	-1.285051e+000
4.990234374506560e-006	-1.248284e+000
5.009765624506559e-006	-1.192808e+000
5.029296874506559e-006	-1.119588e+000
5.048828124506558e-006	-1.029844e+000
5.068359374506557e-006	-9.250199e-001
5.087890624506556e-006	-8.067365e-001
5.107421874506555e-006	-6.767654e-001
5.126953124506555e-006	-5.370029e-001
5.146484374506554e-006	-3.894535e-001
5.166015624506553e-006	-2.362183e-001
5.185546874506552e-006	-7.948550e-002
5.205078124506551e-006	7.848173e-002
5.214843749506551e-006	1.572048e-001
5.224609374506551e-006	2.353633e-001
5.234374999506550e-006	3.126627e-001
5.244140624506550e-006	3.888085e-001
5.253906249506549e-006	4.635080e-001
5.263671874506549e-006	5.364714e-001
