rload	V(out)	I(R433)
5.011872336272841e-024	2.951406e-023	5.888829e+000
5.248074602497850e-024	3.090501e-023	5.888829e+000
5.495408738576376e-024	3.236152e-023	5.888829e+000
5.754399373371707e-024	3.388667e-023	5.888829e+000
6.025595860743722e-024	3.548370e-023	5.888829e+000
6.309573444802084e-024	3.715600e-023	5.888829e+000
6.606934480076119e-024	3.890711e-023	5.888829e+000
6.918309709189532e-024	4.074074e-023	5.888829e+000
7.244359600750077e-024	4.266079e-023	5.888829e+000
7.585775750292023e-024	4.467133e-023	5.888829e+000
7.943282347243009e-024	4.677663e-023	5.888829e+000
8.317637711026914e-024	4.898115e-023	5.888829e+000
8.709635899561020e-024	5.128956e-023	5.888829e+000
9.120108393559322e-024	5.370675e-023	5.888829e+000
9.549925860214596e-024	5.623788e-023	5.888829e+000
1.000000000000025e-023	5.888829e-023	5.888829e+000
1.047128548050926e-023	6.166361e-023	5.888829e+000
1.096478196143212e-023	6.456972e-023	5.888829e+000
1.148153621496911e-023	6.761280e-023	5.888829e+000
1.202264434617443e-023	7.079929e-023	5.888829e+000
1.258925411794199e-023	7.413596e-023	5.888829e+000
1.318256738556440e-023	7.762988e-023	5.888829e+000
1.380384264602920e-023	8.128847e-023	5.888829e+000
1.445439770745964e-023	8.511947e-023	5.888829e+000
1.513561248436246e-023	8.913103e-023	5.888829e+000
1.584893192461154e-023	9.333165e-023	5.888829e+000
1.659586907437603e-023	9.773024e-023	5.888829e+000
1.737800828749420e-023	1.023361e-022	5.888829e+000
1.819700858610030e-023	1.071591e-022	5.888829e+000
1.905460717963296e-023	1.122093e-022	5.888829e+000
1.995262314968931e-023	1.174976e-022	5.888829e+000
2.089296130854094e-023	1.230351e-022	5.888829e+000
2.187761623949609e-023	1.288335e-022	5.888829e+000
2.290867652767832e-023	1.349053e-022	5.888829e+000
2.398832919019553e-023	1.412632e-022	5.888829e+000
2.511886431509645e-023	1.479207e-022	5.888829e+000
2.630267991895451e-023	1.548920e-022	5.888829e+000
2.754228703338238e-023	1.621918e-022	5.888829e+000
2.884031503126682e-023	1.698357e-022	5.888829e+000
3.019951720402096e-023	1.778398e-022	5.888829e+000
3.162277660168463e-023	1.862211e-022	5.888829e+000
3.311311214825999e-023	1.949975e-022	5.888829e+000
3.467368504525409e-023	2.041874e-022	5.888829e+000
3.630780547701111e-023	2.138105e-022	5.888829e+000
3.801893963205714e-023	2.238870e-022	5.888829e+000
3.981071705535080e-023	2.344385e-022	5.888829e+000
4.168693834703467e-023	2.454873e-022	5.888829e+000
4.365158322401779e-023	2.570567e-022	5.888829e+000
4.570881896148875e-023	2.691714e-022	5.888829e+000
4.786300923226514e-023	2.818571e-022	5.888829e+000
5.011872336272860e-023	2.951406e-022	5.888829e+000
5.248074602497870e-023	3.090501e-022	5.888829e+000
5.495408738576396e-023	3.236152e-022	5.888829e+000
5.754399373371727e-023	3.388667e-022	5.888829e+000
