rload	V(out)	I(R3)
2.089296130854095e-013	1.230351e-012	5.888829e+000
2.187761623949611e-013	1.288335e-012	5.888829e+000
2.290867652767834e-013	1.349053e-012	5.888829e+000
2.398832919019554e-013	1.412632e-012	5.888829e+000
2.511886431509647e-013	1.479207e-012	5.888829e+000
2.630267991895452e-013	1.548920e-012	5.888829e+000
2.754228703338240e-013	1.621918e-012	5.888829e+000
2.884031503126683e-013	1.698357e-012	5.888829e+000
3.019951720402098e-013	1.778398e-012	5.888829e+000
3.162277660168465e-013	1.862211e-012	5.888829e+000
3.311311214826001e-013	1.949974e-012	5.888829e+000
3.467368504525411e-013	2.041874e-012	5.888829e+000
3.630780547701112e-013	2.138105e-012	5.888829e+000
3.801893963205716e-013	2.238870e-012	5.888829e+000
3.981071705535081e-013	2.344385e-012	5.888829e+000
4.168693834703468e-013	2.454872e-012	5.888829e+000
4.365158322401779e-013	2.570567e-012	5.888829e+000
4.570881896148876e-013	2.691714e-012	5.888829e+000
4.786300923226515e-013	2.818571e-012	5.888829e+000
5.011872336272861e-013	2.951406e-012	5.888829e+000
5.248074602497871e-013	3.090501e-012	5.888829e+000
5.495408738576398e-013	3.236152e-012	5.888829e+000
5.754399373371730e-013	3.388667e-012	5.888829e+000
6.025595860743747e-013	3.548370e-012	5.888829e+000
6.309573444802110e-013	3.715600e-012	5.888829e+000
6.606934480076147e-013	3.890711e-012	5.888829e+000
6.918309709189561e-013	4.074074e-012	5.888829e+000
7.244359600750107e-013	4.266079e-012	5.888829e+000
7.585775750292054e-013	4.467134e-012	5.888829e+000
7.943282347243042e-013	4.677663e-012	5.888829e+000
8.317637711026948e-013	4.898114e-012	5.888829e+000
8.709635899561055e-013	5.128955e-012	5.888829e+000
9.120108393559360e-013	5.370676e-012	5.888829e+000
9.549925860214636e-013	5.623788e-012	5.888829e+000
1.000000000000029e-012	5.888829e-012	5.888829e+000
1.047128548050930e-012	6.166361e-012	5.888829e+000
1.096478196143217e-012	6.456973e-012	5.888829e+000
1.148153621496916e-012	6.761280e-012	5.888829e+000
1.202264434617448e-012	7.079930e-012	5.888829e+000
1.258925411794204e-012	7.413597e-012	5.888829e+000
1.318256738556446e-012	7.762988e-012	5.888829e+000
1.380384264602926e-012	8.128847e-012	5.888829e+000
1.445439770745970e-012	8.511947e-012	5.888829e+000
1.513561248436253e-012	8.913103e-012	5.888829e+000
1.584893192461161e-012	9.333164e-012	5.888829e+000
1.659586907437610e-012	9.773024e-012	5.888829e+000
1.737800828749427e-012	1.023361e-011	5.888829e+000
1.819700858610038e-012	1.071591e-011	5.888829e+000
1.905460717963304e-012	1.122093e-011	5.888829e+000
1.995262314968940e-012	1.174976e-011	5.888829e+000
2.089296130854102e-012	1.230351e-011	5.888829e+000
2.187761623949618e-012	1.288335e-011	5.888829e+000
2.290867652767842e-012	1.349053e-011	5.888829e+000
2.398832919019563e-012	1.412632e-011	5.888829e+000
2.511886431509657e-012	1.479207e-011	5.888829e+000
2.630267991895462e-012	1.548920e-011	5.888829e+000
2.754228703338251e-012	1.621918e-011	5.888829e+000
2.884031503126695e-012	1.698357e-011	5.888829e+000
3.019951720402110e-012	1.778398e-011	5.888829e+000
3.162277660168478e-012	1.862211e-011	5.888829e+000
3.311311214826014e-012	1.949975e-011	5.888829e+000
3.467368504525425e-012	2.041874e-011	5.888829e+000
3.630780547701127e-012	2.138105e-011	5.888829e+000
3.801893963205731e-012	2.238870e-011	5.888829e+000
3.981071705535098e-012	2.344385e-011	5.888829e+000
4.168693834703486e-012	2.454872e-011	5.888829e+000
4.365158322401798e-012	2.570567e-011	5.888829e+000
4.570881896148896e-012	2.691714e-011	5.888829e+000
4.786300923226537e-012	2.818571e-011	5.888829e+000
5.011872336272884e-012	2.951406e-011	5.888829e+000
5.248074602497895e-012	3.090501e-011	5.888829e+000
5.495408738576423e-012	3.236152e-011	5.888829e+000
5.754399373371756e-012	3.388667e-011	5.888829e+000
6.025595860743773e-012	3.548370e-011	5.888829e+000
6.309573444802137e-012	3.715600e-011	5.888829e+000
6.606934480076175e-012	3.890711e-011	5.888829e+000
6.918309709189591e-012	4.074074e-011	5.888829e+000
7.244359600750138e-012	4.266080e-011	5.888829e+000
7.585775750292086e-012	4.467134e-011	5.888829e+000
7.943282347243075e-012	4.677663e-011	5.888829e+000
8.317637711026983e-012	4.898115e-011	5.888829e+000
8.709635899561093e-012	5.128956e-011	5.888829e+000
9.120108393559398e-012	5.370676e-011	5.888829e+000
9.549925860214675e-012	5.623788e-011	5.888829e+000
1.000000000000033e-011	5.888829e-011	5.888829e+000
1.047128548050934e-011	6.166361e-011	5.888829e+000
1.096478196143222e-011	6.456972e-011	5.888829e+000
1.148153621496921e-011	6.761280e-011	5.888829e+000
1.202264434617453e-011	7.079930e-011	5.888829e+000
1.258925411794210e-011	7.413596e-011	5.888829e+000
1.318256738556452e-011	7.762988e-011	5.888829e+000
1.380384264602932e-011	8.128847e-011	5.888829e+000
1.445439770745977e-011	8.511947e-011	5.888829e+000
1.513561248436260e-011	8.913103e-011	5.888829e+000
1.584893192461167e-011	9.333165e-011	5.888829e+000
1.659586907437617e-011	9.773023e-011	5.888829e+000
1.737800828749435e-011	1.023361e-010	5.888829e+000
1.819700858610046e-011	1.071591e-010	5.888829e+000
1.905460717963313e-011	1.122093e-010	5.888829e+000
1.995262314968948e-011	1.174976e-010	5.888829e+000
2.089296130854111e-011	1.230351e-010	5.888829e+000
2.187761623949628e-011	1.288335e-010	5.888829e+000
2.290867652767852e-011	1.349053e-010	5.888829e+000
2.398832919019573e-011	1.412632e-010	5.888829e+000
2.511886431509667e-011	1.479207e-010	5.888829e+000
2.630267991895473e-011	1.548920e-010	5.888829e+000
2.754228703338262e-011	1.621918e-010	5.888829e+000
2.884031503126706e-011	1.698357e-010	5.888829e+000
3.019951720402122e-011	1.778398e-010	5.888829e+000
3.162277660168490e-011	1.862211e-010	5.888829e+000
3.311311214826027e-011	1.949974e-010	5.888829e+000
3.467368504525438e-011	2.041874e-010	5.888829e+000
3.630780547701142e-011	2.138105e-010	5.888829e+000
3.801893963205747e-011	2.238870e-010	5.888829e+000
3.981071705535114e-011	2.344385e-010	5.888829e+000
4.168693834703502e-011	2.454872e-010	5.888829e+000
4.365158322401815e-011	2.570567e-010	5.888829e+000
4.570881896148914e-011	2.691714e-010	5.888829e+000
4.786300923226555e-011	2.818571e-010	5.888829e+000
5.011872336272903e-011	2.951406e-010	5.888829e+000
5.248074602497915e-011	3.090501e-010	5.888829e+000
5.495408738576444e-011	3.236152e-010	5.888829e+000
5.754399373371777e-011	3.388667e-010	5.888829e+000
6.025595860743796e-011	3.548370e-010	5.888829e+000
6.309573444802162e-011	3.715600e-010	5.888829e+000
6.606934480076201e-011	3.890711e-010	5.888829e+000
6.918309709189617e-011	4.074074e-010	5.888829e+000
7.244359600750166e-011	4.266079e-010	5.888829e+000
7.585775750292116e-011	4.467134e-010	5.888829e+000
7.943282347243107e-011	4.677663e-010	5.888829e+000
8.317637711027017e-011	4.898115e-010	5.888829e+000
8.709635899561128e-011	5.128956e-010	5.888829e+000
9.120108393559435e-011	5.370676e-010	5.888829e+000
9.549925860214713e-011	5.623788e-010	5.888829e+000
1.000000000000037e-010	5.888829e-010	5.888829e+000
1.047128548050938e-010	6.166361e-010	5.888829e+000
1.096478196143226e-010	6.456973e-010	5.888829e+000
1.148153621496925e-010	6.761280e-010	5.888829e+000
1.202264434617458e-010	7.079929e-010	5.888829e+000
1.258925411794214e-010	7.413596e-010	5.888829e+000
1.318256738556457e-010	7.762989e-010	5.888829e+000
1.380384264602937e-010	8.128846e-010	5.888829e+000
1.445439770745982e-010	8.511947e-010	5.888829e+000
1.513561248436265e-010	8.913103e-010	5.888829e+000
1.584893192461173e-010	9.333165e-010	5.888829e+000
1.659586907437624e-010	9.773024e-010	5.888829e+000
1.737800828749442e-010	1.023361e-009	5.888829e+000
1.819700858610053e-010	1.071591e-009	5.888829e+000
1.905460717963320e-010	1.122093e-009	5.888829e+000
